name,price,rating,url
Peppermint Chocolate Selector,5.8500000000000005,96,https://hotelchocolat.com/uk/peppermint-truffles.html
Vegan* Hot Chocolate Selection Box,18.85,75,https://hotelchocolat.com/uk/vegan-hot-chocolate-box.html
Podcycler,8.411,96,https://hotelchocolat.com/uk/podcycler.html
Caffe Latte Selector,5.8500000000000005,88,https://hotelchocolat.com/uk/caffe-latte-selector.html
Hazelnut & Ginger Chocolate Selector,5.8500000000000005,93,https://hotelchocolat.com/uk/hazelnut-ginger-dark-chocolates.html
The Praline Selector,5.8500000000000005,92,https://hotelchocolat.com/uk/praline-collection.html
Tiramisu Selector,5.8500000000000005,100,https://hotelchocolat.com/uk/tiramisu-selector.html
Salted Caramel Selector,5.8500000000000005,96,https://hotelchocolat.com/uk/salted-caramel-chocolate.html
Strawberry Cheesecake Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/strawberry-chocolate-cheesecakes.html
Chocolate Caramel Cheesecake Selector,5.8500000000000005,100,https://hotelchocolat.com/uk/caramel-cheesecake-chocolate-selector.html
45% Nutmilk Chocolate Batons,9.75,94,https://hotelchocolat.com/uk/vegan-45-nutmilk-chocolate-batons.html
Hazelnut Praline Chocolate Selector,5.8500000000000005,96,https://hotelchocolat.com/uk/nutty-chocolate-pralines.html
Chocolate Macadamia Nut Selector,5.8500000000000005,81,https://hotelchocolat.com/uk/macadamia-nut-chocolate.html
White Chocolate Eton Mess Selector,5.8500000000000005,100,https://hotelchocolat.com/uk/eton-mess-chocolates.html
Chocolate Brownie Bar Selector,5.8500000000000005,100,https://hotelchocolat.com/uk/brownie-slab.html
Praline Dark Chocolate Selector,5.8500000000000005,95,https://hotelchocolat.com/uk/praline-80pc-selector.html
Chocolate Orange Tangs,13.0,82,https://hotelchocolat.com/uk/orange-chocolate.html
Mousse au Chocolat Selector,5.8500000000000005,91,https://hotelchocolat.com/uk/mousse-au-chocolat.html
Chat Coffee Cup,15.600000000000001,80,https://hotelchocolat.com/uk/chat-coffee-cup.html
Cherry & Raspberry Gin 500ml,29.900000000000002,100,https://hotelchocolat.com/uk/cherry-and-raspberry-gin-500ml.html
70% Dark Chocolate Slab Selector,5.8500000000000005,100,https://hotelchocolat.com/uk/dark-chocolate-slabs.html
Dark Chocolate Covered Ginger,13.0,91,https://hotelchocolat.com/uk/chocolate-covered-ginger.html
White Chocolate Collection Selector,5.8500000000000005,97,https://hotelchocolat.com/uk/white-chocolate-selector.html
Dark Chocolate Salted Caramelised Almonds,8.450000000000001,85,https://hotelchocolat.com/uk/dark-caramelised-imp.html
Mango & Passion Fruit Gin 500ml,29.900000000000002,100,https://hotelchocolat.com/uk/mango-and-passionfruit-gin-500ml.html
Hazelnut 70% Dark Chocolate 100g Slab Selector,5.8500000000000005,92,https://hotelchocolat.com/uk/hazelnut-dark-chocolate.html
Smile Milk Chocolate Lolly,2.9250000000000003,87,https://hotelchocolat.com/uk/milk-lick.html
Salted Caramel & Clementine Velvetised Chocolate Cream ,29.900000000000002,90,https://hotelchocolat.com/uk/salted-caramel-clementine-liqueur.html
Nutmilk 45% Hot Chocolate Pouches,20.8,0,https://hotelchocolat.com/uk/nutmilk-hot-chocolate-bag-large.html
Peanut Butter Batons,9.75,91,https://hotelchocolat.com/uk/peanut-butter-chocolate-baton-bar.html
Simple Dark Chocolate Truffles Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/simple-dark-chocolate-truffles-selector.html
Dark Chocolate Puddles with Ginger,8.450000000000001,70,https://hotelchocolat.com/uk/70-dark-with-ginger-puddles.html
Salted Caramel Milk Chocolate Slab,5.8500000000000005,91,https://hotelchocolat.com/uk/salted-caramel-milk-chocolate.html
Strawberries & Cream Chocolate Puddles,8.450000000000001,88,https://hotelchocolat.com/uk/strawberries-and-cream-puddles.html
Salted Caramel Brownie Selector,5.8500000000000005,69,https://hotelchocolat.com/uk/salted-caramel-brownie-selector.html
Eton Mess Slab Selector,5.8500000000000005,0,https://hotelchocolat.com/uk/eton-mess-slab.html
Raspberry Nutmilk Ganache Selector,5.8500000000000005,86,https://hotelchocolat.com/uk/raspberry-nutmilk-selector.html
Chocolate Peanut Butter Bar 100g Slab Selector,5.8500000000000005,89,https://hotelchocolat.com/uk/peanut-butter-chocolate-slab.html
Velvetised Chocolate Cream 50ml,5.8500000000000005,92,https://hotelchocolat.com/uk/chocolate-cream-liqueur-50ml.html
Rum Truffles Selector,5.8500000000000005,75,https://hotelchocolat.com/uk/rum-chocolate-truffles.html
Chocolate Orange Pot Selector,5.8500000000000005,69,https://hotelchocolat.com/uk/chocolate-orange-pot-selector.html
Fruity Collection Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/fruit-collection-selector.html
Chocolate Baton Library - High Cocoa,27.3,96,https://hotelchocolat.com/uk/baton-library-dark.html
Gin Truffles Selector,5.8500000000000005,86,https://hotelchocolat.com/uk/gin-chocolate-truffles.html
Velvetised Chocolate Tasting Experience Gift Set,19.435,50,https://hotelchocolat.com/uk/velvetised-chocolate-tasting-experience-gift-set.html
Brownie Chocolate Selector,5.8500000000000005,83,https://hotelchocolat.com/uk/the-brownie-chocolate-selector.html
Apple Strudel Chocolate Selector,5.8500000000000005,85,https://hotelchocolat.com/uk/apple-strudel.html
Peanut Butter Chocolate Selector,5.8500000000000005,71,https://hotelchocolat.com/uk/smooth-peanut-butter-chocolate.html
Rocky Road Chocolate 100g Slab Selector,5.8500000000000005,89,https://hotelchocolat.com/uk/rocky-road-selector.html
Dizzy Dark Chocolate Pralines Selector,5.8500000000000005,97,https://hotelchocolat.com/uk/dark-dizzy-pralines.html
Caramel Pecan Chocolate Selector,5.8500000000000005,91,https://hotelchocolat.com/uk/pecan-caramel-chocolates.html
Vintage Red Wine - Chateau Chocolat,32.5,94,https://hotelchocolat.com/uk/zambujeiro-portugal-2010.html
Dark Fix Pocket Selection,11.700000000000001,91,https://hotelchocolat.com/uk/dark-fix-pocket-selection.html
Carrot Cake Selector,5.8500000000000005,73,https://hotelchocolat.com/uk/carrot-cake-selector.html
Panned Pecan Nutmilk Praline Selector,5.8500000000000005,83,https://hotelchocolat.com/uk/pecan-nutmilk-praline-selector.html
Simple White Chocolate Truffles Selector,5.8500000000000005,96,https://hotelchocolat.com/uk/simple-white-chocolate-truffles-selector.html
Chilli Chocolate Selector,5.8500000000000005,77,https://hotelchocolat.com/uk/chili-chocolate-hazelnut-pralines.html
Cocoa Beer,5.2,75,https://hotelchocolat.com/uk/chocolate-beer.html
Salted Caramel Cream Selector,5.8500000000000005,89,https://hotelchocolat.com/uk/salted-caramel-cream.html
Caramel Chocolate Bar Selector,5.8500000000000005,93,https://hotelchocolat.com/uk/caramel-chocolate-slabs.html
Peanut Butter and Jelly Selector,5.8500000000000005,88,https://hotelchocolat.com/uk/peanut-butter-jelly-selector.html
Summer Desserts H-box,19.435,73,https://hotelchocolat.com/uk/summer-desserts-chocolate-box-small.html
Mississippi Mud Pie Chocolate Selector,5.8500000000000005,92,https://hotelchocolat.com/uk/chocolate-mississippi-mud-pie.html
Banoffee Pie Chocolate Selector,5.8500000000000005,100,https://hotelchocolat.com/uk/banoffee-pie-slab.html
Caramel Chocolate Batons,9.75,93,https://hotelchocolat.com/uk/caramel-batons.html
Dark Chocolate Truffles Selector,5.8500000000000005,92,https://hotelchocolat.com/uk/dark-chocolate-collection-selector.html
100% Dark Chocolate Batons - Rare & Vintage,9.75,59,https://hotelchocolat.com/uk/100-dark-baton.html
Raspberry Dizzy Chocolate Selector,5.8500000000000005,0,https://hotelchocolat.com/uk/raspberry-dizzy-selector.html
Cocoa Blonde,5.2,77,https://hotelchocolat.com/uk/blonde-chocolate-beer.html
Treacle Tart Selector,5.8500000000000005,86,https://hotelchocolat.com/uk/treacle-tart.html
Mojito Chocolate Selector,5.8500000000000005,77,https://hotelchocolat.com/uk/mojito.html
Velvetised Chocolate Cream 200ml,20.8,80,https://hotelchocolat.com/uk/chocolate-cream-liqueur-small-200ml.html
Petite Podcups,23.400000000000002,0,https://hotelchocolat.com/uk/petit-pod-cups.html
Salted Caramel Cacao Vodka Liqueur 200ml,20.8,95,https://hotelchocolat.com/uk/salted-caramel-cocoa-vodka-200ml.html
Walnut Praline Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/walnut-praline-selector.html
White Chocolate Custard Tart Selector,5.8500000000000005,88,https://hotelchocolat.com/uk/custard-tart-chocolates.html
Marzipan & Amaretto Selector,5.8500000000000005,82,https://hotelchocolat.com/uk/marzipan-amaretto-chocolates.html
The Blondie Selector,5.8500000000000005,85,https://hotelchocolat.com/uk/caramel-custard-blondie.html
Passion Fruit Chocolate Selector,5.8500000000000005,91,https://hotelchocolat.com/uk/passion-fruit-chocolate.html
White Chocolate Tiddly Pot,2.9250000000000003,94,https://hotelchocolat.com/uk/white-chocolate-pot.html
